sensor_name,stream_temperature,timestamp,flow_quantity,flow_temp,flowTimeIndex_delta,rowid,Property
Kitchen-Faucet,Hot,51:37.4,0,15.233,0,503727336,FW63
Kitchen-Faucet,Cold,29:56.6,0,15.288,0,678335320,FW63
Kitchen-Faucet,Cold,51:47.8,0,15.86,0,694386276,FW63
Kitchen-Faucet,Hot,04:21.6,0,16.855,0,430113681,FW63
Kitchen-Faucet,Hot,51:08.6,0,12.973,0,552239935,FW63
Kitchen-Faucet,Hot,41:56.2,0,14.987,0,678919805,FW63
Kitchen-Faucet,Cold,15:25.9,0,14.518,0,523348696,FW63
Kitchen-Faucet,Cold,03:35.3,0,15.37,0,507350952,FW63
Kitchen-Faucet,Cold,03:39.8,0,15.779,0,500116895,FW63
Kitchen-Faucet,Cold,46:02.7,0,13.905,0,461727406,FW63
Kitchen-Faucet,Hot,15:27.7,0,14.156,0,520251076,FW63
Kitchen-Faucet,Hot,27:11.1,0,13.286,0,547981185,FW63
Kitchen-Faucet,Hot,57:42.7,0,16.157,0,703652044,FW63
Kitchen-Faucet,Hot,21:42.8,0,16.265,0,703223025,FW63
Kitchen-Faucet,Cold,34:59.6,0.144,14.545,0.75,567491206,FW63
Kitchen-Faucet,Cold,56:51.7,0.091,14.045,1,687264686,FW63
Kitchen-Faucet,Hot,13:00.1,0,14.351,0,567020318,FW63
Kitchen-Faucet,Cold,02:25.9,0,15.561,0,626485454,FW63
Kitchen-Faucet,Cold,36:53.0,0,14.628,0,579042351,FW63
Kitchen-Faucet,Cold,30:54.2,0,15.069,0,577041906,FW63
Kitchen-Faucet,Cold,09:35.1,0,17.122,0,716532290,FW63
Kitchen-Faucet,Hot,18:32.6,0,18.804,0,411657210,FW63
Kitchen-Faucet,Cold,15:47.6,0,14.932,0,486788226,FW63
Kitchen-Faucet,Cold,54:31.5,0,14.184,0,413817373,FW63
Kitchen-Faucet,Cold,39:14.3,0,13.793,0,542260488,FW63
Kitchen-Faucet,Cold,33:45.7,0.211,14.573,1.5,390291872,FW63
Kitchen-Faucet,Cold,27:33.6,0,15.425,0,510451872,FW63
Kitchen-Faucet,Hot,04:21.1,0,23.681,0,635229891,FW63
Kitchen-Faucet,Cold,07:37.8,0,16.641,0,711461554,FW63
Kitchen-Faucet,Hot,39:39.6,0,15.452,0,500116903,FW63
Kitchen-Faucet,Cold,58:12.4,0,14.434,0,650404430,FW63
Kitchen-Faucet,Hot,38:06.5,3.34,28.15,24,555910037,FW63
Kitchen-Faucet,Cold,23:58.8,1.706,14.628,16.75,674513928,FW63
Kitchen-Faucet,Cold,47:39.6,0,14.045,0.25,400141385,FW63
Kitchen-Faucet,Hot,56:49.8,0,15.534,0,383696095,FW63
Kitchen-Faucet,Cold,10:38.1,0,13.342,0,604694936,FW63
Kitchen-Faucet,Cold,36:37.6,0,14.794,0,403623369,FW63
Kitchen-Faucet,Cold,15:15.9,0,14.017,0,539716834,FW63
Kitchen-Faucet,Hot,26:55.7,0,15.014,0,374416220,FW63
Kitchen-Faucet,Hot,10:16.5,0,15.288,0,642776676,FW63
Kitchen-Faucet,Cold,19:37.0,0,13.54,0,606997319,FW63
Kitchen-Faucet,Hot,57:33.6,0,16.4,0,719221409,FW63
Kitchen-Faucet,Cold,33:33.5,0,16.721,0,719221416,FW63
Kitchen-Faucet,Cold,30:25.1,0,11.502,0,424371213,FW63
Kitchen-Faucet,Hot,27:42.7,0,15.67,0,495079225,FW63
Kitchen-Faucet,Hot,09:51.6,2.426,40.207,22,687264719,FW63
Kitchen-Faucet,Hot,11:00.3,7.098,33.603,50.75,671842549,FW63
Kitchen-Faucet,Cold,00:05.8,0.001,12.401,0,556784498,FW63
Kitchen-Faucet,Hot,59:48.8,0,16.988,0,484829853,FW63
Kitchen-Faucet,Cold,17:06.3,0,13.849,0,555910058,FW63
Kitchen-Faucet,Hot,40:32.9,0,38.421,0.25,720779209,FW63
Kitchen-Faucet,Hot,16:39.2,2.41,28.414,18.5,401204801,FW63
Kitchen-Faucet,Cold,56:32.1,0,17.281,0.25,721949889,FW63
Kitchen-Faucet,Cold,18:36.7,0.723,11.677,6.75,607577281,FW63
Kitchen-Faucet,Hot,20:15.9,0.048,28.917,0.5,643935298,FW63
Kitchen-Faucet,Cold,00:27.1,0,13.961,0,624190343,FW63
Kitchen-Faucet,Cold,58:38.5,0,13.427,0,604382215,FW63
Kitchen-Faucet,Cold,15:09.7,0,12.973,0,550804151,FW63
Kitchen-Faucet,Cold,04:15.6,0,13.512,0,440157127,FW63
Kitchen-Faucet,Cold,39:46.1,0,13.116,0,697083860,FW63
Kitchen-Faucet,Cold,46:18.2,0,16.4,0,640156367,FW63
Kitchen-Faucet,Cold,25:44.6,0,15.995,0,699772680,FW63
Kitchen-Faucet,Cold,00:36.7,0,12.401,0,607577252,FW63
Kitchen-Faucet,Hot,03:21.7,0,13.933,0,529832495,FW63
Kitchen-Faucet,Hot,44:03.9,0.381,29.776,4.5,560509528,FW63
Kitchen-Faucet,Cold,38:01.9,0.313,13.596,2,463352958,FW63
Kitchen-Faucet,Hot,57:01.0,0,17.413,0,366011533,FW63
Kitchen-Faucet,Cold,32:47.9,0,14.212,0,587649054,FW63
Kitchen-Faucet,Cold,44:12.7,0,14.545,0,444782438,FW63
Kitchen-Faucet,Cold,50:01.9,0,12.257,0,463352966,FW63
Kitchen-Faucet,Hot,08:47.7,0,14.518,0,588219410,FW63
Kitchen-Faucet,Cold,02:47.1,0,15.261,0,388185209,FW63
Kitchen-Faucet,Hot,56:46.3,0,13.793,0,590807381,FW63
Kitchen-Faucet,Cold,27:34.5,0,15.507,0,508965569,FW63
Kitchen-Faucet,Hot,23:45.7,0,17.546,0,489838880,FW63
Kitchen-Faucet,Cold,46:06.8,0,13.144,0,555348654,FW63
Kitchen-Faucet,Hot,40:20.5,0,15.398,0,432009049,FW63
